reference,source_text,translation,confidence
Genesis 1,Genesis 1:1: In the beginning God created the heavens and the earth.,"Nan kòmansman an, Bondye te kreye syèl la ak tè a.",0.7424999999999999
Genesis 1,Genesis 1:2: And the earth was waste and void; and darkness was upon the face of the deep: and the Spirit of God moved upon the face of the waters.,"Lè sa a, tè a te vide, li pa t' gen anyen sou li, li te fè fènwa sou lanmè a. Lespri Bondye a t'ap deplase sou dlo a.",0.7424999999999999
Genesis 1,"Genesis 1:3: And God said, Let there be light: and there was light.","Apre sa, Bondye di: - Se pou gen limyè. Se konsa, limyè te parèt.",0.99
Genesis 1,"Genesis 1:4: And God saw the light, that it was good: and God divided the light from the darkness.","Bondye wè limyè a, li te bon. Bondye separe limyè a ak fènwa a.",0.99
Genesis 1,"Genesis 1:5: And God called the light Day, and the darkness he called Night. And there was evening and there was morning, one day.","Bondye rele limyè a Jou, li rele fènwa a lannwit. Se konsa, te gen aswè ak maten, se te yon sèl jou.",0.99
Genesis 1,"Genesis 1:6: And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.","Apre sa, Bondye di: -Se pou yon gwo syèl parèt nan mitan dlo yo. Se pou li separe dlo yo!",0.99
Genesis 1,"Genesis 1:7: And God made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament: and it was so.","Bondye fè syèl la, li separe dlo ki anba syèl la ak dlo ki anwo syèl la.",0.7424999999999999
Genesis 1,"Genesis 1:8: And God called the firmament Heaven. And there was evening and there was morning, a second day.","Apre sa, Bondye rele syèl la. Se konsa, gen yon aswè ak yon maten. Se te dezyèm jou a.",0.7424999999999999
Genesis 1,"Genesis 1:9: And God said, Let the waters under the heavens be gathered together unto one place, and let the dry land appear: and it was so.","Apre sa, Bondye di: ""Se pou tout dlo ki anba syèl la rasanble nan yon sèl kote. Se pou tout tè sèk la parèt"". Se konsa bagay la rive.",0.7424999999999999
Genesis 1,Genesis 1:10: And God called the dry land Earth; and the gathering together of the waters called he Seas: and God saw that it was good.,"Bondye rele tè ki sèk la tè, li rele dlo ki te rasanble a lanmè. Bondye wè sa te bon.",0.5197499999999999
